Position,Track Name,Artist,Streams,URL
109,Panini,Lil Nas X,969241,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
110,Driving Home for Christmas - 2019 Remaster,Chris Rea,967222,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
111,Shape of You,Ed Sheeran,965558,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
112,Better Now,Post Malone,965085,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
113,Loyal (feat. Drake),PARTYNEXTDOOR,962953,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
114,If I Can't Have You,Shawn Mendes,953879,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
115,The London (feat. J. Cole & Travis Scott),Young Thug,952667,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
116,Girls Like You (feat. Cardi B),Maroon 5,943575,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
117,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,936867,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
118,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,935240,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
119,Ballin' (with Roddy Ricch),Mustard,935205,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
120,SAD!,XXXTENTACION,928883,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
121,Don't Call Me Up,Mabel,925920,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
122,223's (feat. 9lokknine),YNW Melly,916305,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
123,Youngblood,5 Seconds of Summer,914802,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
124,Calma - Remix,Pedro CapÃ_,913689,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
125,Say You Won't Let Go,James Arthur,911981,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,i'm so tired...,Lauv,909139,https://open.spotify.com/track/2iwS33Jfev1QBiuhWVWZHY
127,Be Alright,Dean Lewis,909030,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
128,Higher Love,Kygo,908854,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
129,QUE PRETENDES,J Balvin,900313,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
130,You Need To Calm Down,Taylor Swift,898114,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
131,"break up with your girlfriend, i'm bored",Ariana Grande,893898,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
132,FantasÃ_a,Ozuna,892311,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
133,wish you were gay,Billie Eilish,891127,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
134,11:00 PM,Maluma,890223,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
135,The Christmas Song (Merry Christmas To You),Nat King Cole,885733,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
136,"DJ No Pare (feat. Zion, Dalex, Lenny TavÃ¡rez) - Remix",Justin Quiles,884224,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
137,Let Me Down Slowly,Alec Benjamin,884116,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
138,Otro Trago - Remix,Sech,878342,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
139,White Christmas,Bing Crosby,878259,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
140,Follow God,Kanye West,876521,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
141,Takeaway,The Chainsmokers,874749,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
142,Going Bad (feat. Drake),Meek Mill,871492,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
143,Woah,Lil Baby,870952,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
144,goosebumps,Travis Scott,869883,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
145,Hate Me (with Juice WRLD),Ellie Goulding,861898,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
146,I Like Me Better,Lauv,861896,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
147,Perfect,Ed Sheeran,860447,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
148,Stuck In A Dream (feat. Gunna),Lil Mosey,859505,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
149,Camelot,NLE Choppa,854619,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
150,SLOW DANCING IN THE DARK,Joji,852879,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
