name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
"Salted Wound - From ""Fifty Shades Of Grey"" Soundtrack","Salted Wound (From The"" Fifty Shades Of Grey"" Soundtrack)",Sia,2015-01-27,4.52,59,0.37200000000000005,0.7979999999999999,0.37200000000000005,0.354,0.00149,0.0848,-10.775,0.0277,82.023,4,2015,True
Guts Over Fear,Guts Over Fear,Eminem,2014-08-25,5.01,56,0.655,0.32799999999999996,0.655,0.8590000000000001,0.0,0.248,-4.277,0.221,140.049,4,2014,False
Soon We'll Be Found,Some People Have REAL Problems,Sia,2008-01-01,4.34,7,0.513,0.22,0.513,0.561,0.000307,0.23600000000000002,-5.586,0.0339,129.923,3,2008,True
Unforgettable,Finding Dory (Original Motion Picture Soundtrack),Thomas Newman,2016-06-17,3.3,6,0.174,0.9,0.174,0.252,0.0298,0.172,-11.925,0.0358,180.99400000000003,4,2016,False
Satisfied (feat. Miguel & Queen Latifah),Satisfied (feat. Miguel & Queen Latifah) [from The Hamilton Mixtape],Sia,2016-11-11,5.31,55,0.58,0.49700000000000005,0.58,0.544,0.0,0.168,-7.636,0.0697,123.984,4,2016,True
Battle Cry,Dirty Gold (Deluxe),Angel Haze,2013-01-01,4.87,6,0.469,0.0129,0.469,0.8590000000000001,0.0,0.21600000000000003,-6.683,0.315,160.378,4,2013,False
Rainbow (From The Original Motion Picture Soundtrack 'My Little Pony: The Movie'),Rainbow (From The Original Motion Picture Soundtrack 'My Little Pony: The Movie'),Sia,2017-09-15,3.28,43,0.532,0.292,0.532,0.8640000000000001,0.0,0.0671,-2.978,0.13699999999999998,81.873,4,2017,True
I'm In Here,We Are Born,Sia,2010-06-18,3.69,57,0.564,0.0582,0.564,0.784,1.0300000000000001e-05,0.114,-5.347,0.0568,147.82,4,2010,True
Like a River Runs,"Terrible Thrills, Vol. 2",Bleachers,2015-09-28,3.96,55,0.255,0.84,0.255,0.243,2.36e-06,0.187,-11.194,0.0384,89.258,1,2015,False
You've Changed,We Are Born,Sia,2010-06-18,3.19,51,0.6709999999999999,7.99e-05,0.6709999999999999,0.825,0.52,0.147,-5.672999999999999,0.034,119.99600000000001,4,2010,True
Burn the Pages,1000 Forms of Fear,Sia,2014-07-04,3.25,34,0.507,0.0497,0.507,0.8109999999999999,3.32e-05,0.121,-4.645,0.155,180.081,4,2014,True
You're Never Fully Dressed Without a Smile (2014 Film Version),You're Never Fully Dressed Without a Smile (2014 Film Version),Sia,2014-10-22,3.17,55,0.499,0.0033299999999999996,0.499,0.9640000000000001,0.0,0.111,-4.796,0.23800000000000002,100.509,4,2014,True
Broken Glass (Live from The Village),Spotify Sessions,Sia,2016-04-08,5.19,30,0.392,0.9390000000000001,0.392,0.324,6.24e-06,0.134,-7.005,0.0293,141.042,4,2016,True
Free the Animal,1000 Forms of Fear (Deluxe Version),Sia,2015-05-08,4.41,31,0.674,0.0559,0.674,0.877,0.00011200000000000001,0.0836,-4.945,0.16699999999999998,109.038,4,2015,True
Buttons,Some People Have Real Problems,Sia,2008,3.24,33,0.6859999999999999,0.0011099999999999999,0.6859999999999999,0.736,0.0632,0.209,-5.603,0.0308,115.007,4,2008,True
Waving Goodbye,The Neon Demon (Original Motion Picture Soundtrack),Cliff Martinez,2016-06-24,3.96,42,0.496,0.0863,0.496,0.716,1.3500000000000001e-05,0.3,-5.473,0.0449,127.96,4,2016,False
Paranoid Android,Exit Music: Songs With Radio Heads,Various Artists,2006-04-28,6.24,50,0.248,0.958,0.248,0.261,0.17,0.114,-11.573,0.0358,143.547,4,2006,False
