name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
everytime,Sweetener,Ariana Grande,2018-08-17,2.87,72,0.71,0.18600000000000003,0.71,0.614,0.0,0.0974,-6.757000000000001,0.0431,148.15200000000002,4,2018,True
Let Me Love You,Dangerous Woman,Ariana Grande,2016-05-20,3.73,71,0.528,0.0295,0.528,0.435,0.0,0.243,-8.363,0.129,102.704,3,2016,True
ghostin,"thank u, next",Ariana Grande,2019-02-08,4.52,74,0.287,0.418,0.287,0.364,1.8e-05,0.185,-8.295,0.0306,103.777,4,2019,True
R.E.M,Sweetener,Ariana Grande,2018-08-17,4.09,71,0.831,0.375,0.831,0.485,1.47e-05,0.11800000000000001,-6.6770000000000005,0.15,80.02199999999999,4,2018,True
Quit (feat. Ariana Grande),9,Cashmere Cat,2017-04-28,4.3,10,0.365,0.10300000000000001,0.365,0.413,3.13e-05,0.10300000000000001,-7.369,0.0507,84.74600000000001,3,2017,False
Bang Bang,My Everything (Deluxe),Ariana Grande,2014-08-22,3.32,10,0.703,0.28300000000000003,0.703,0.747,0.0,0.396,-4.446000000000001,0.0895,149.974,4,2014,True
goodnight n go,Sweetener,Ariana Grande,2018-08-17,3.16,72,0.708,0.0217,0.708,0.45399999999999996,0.0,0.073,-7.07,0.0395,110.963,4,2018,True
Best Mistake,My Everything,Ariana Grande,2014-08-21,3.9,7,0.634,0.53,0.634,0.579,0.0,0.11199999999999999,-6.999,0.484,143.941,4,2014,True
Almost Is Never Enough,Yours Truly,Ariana Grande,2013-01-01,5.46,63,0.32299999999999995,0.8240000000000001,0.32299999999999995,0.327,0.0,0.10099999999999999,-7.494,0.0411,81.329,4,2013,True
make up,"thank u, next",Ariana Grande,2019-02-08,2.34,72,0.6709999999999999,0.0844,0.6709999999999999,0.7140000000000001,1.48e-06,0.0568,-5.372999999999999,0.21,105.137,3,2019,True
Bed (feat. Ariana Grande),Bed (feat. Ariana Grande),Nicki Minaj,2018-06-14,3.16,14,0.589,0.0551,0.589,0.7140000000000001,0.00013000000000000002,0.131,-6.308,0.258,118.611,5,2018,False
get well soon,Sweetener,Ariana Grande,2018-08-17,5.37,69,0.604,0.657,0.604,0.449,0.0,0.0932,-6.564,0.0353,100.355,4,2018,True
Honeymoon Avenue,Yours Truly,Ariana Grande,2013-01-01,5.66,61,0.6920000000000001,0.218,0.6920000000000001,0.608,0.0,0.348,-5.233,0.040999999999999995,125.012,4,2013,True
