name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Rather Die Young,4,Beyoncé,2011-06-24,3.71,50,0.628,0.158,0.628,0.665,0.00278,0.177,-6.626,0.11199999999999999,72.032,4,2011,True
1+1,4,Beyoncé,2011-06-24,4.56,60,0.303,0.381,0.303,0.384,5.14e-06,0.0661,-7.3420000000000005,0.0339,63.345,5,2011,True
Start Over,4,Beyoncé,2011-06-24,3.32,52,0.474,0.193,0.474,0.797,6.2e-06,0.322,-4.541,0.191,150.006,4,2011,True
I Was Here,4,Beyoncé,2011-06-24,3.99,62,0.51,0.431,0.51,0.627,0.0,0.0927,-6.59,0.0336,110.992,3,2011,True
Lay Up Under Me,4,Beyoncé,2012-01-06,4.23,36,0.7240000000000001,0.0446,0.7240000000000001,0.792,0.0,0.231,-5.374,0.0665,116.01,4,2012,True
Diva,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.33,53,0.8690000000000001,0.0512,0.8690000000000001,0.546,0.0113,0.0541,-6.755,0.327,146.118,4,2008,True
Ego,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.91,48,0.474,0.145,0.474,0.391,0.0,0.201,-7.781000000000001,0.263,78.798,4,2008,True
If I Were a Boy,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.16,70,0.63,0.0953,0.63,0.504,0.0,0.308,-6.152,0.0334,89.946,4,2008,True
Smash Into You,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.5,44,0.57,0.20600000000000002,0.57,0.423,0.0,0.293,-8.995,0.0267,95.02600000000001,4,2008,True
Sweet Dreams,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.44,57,0.693,0.0995,0.693,0.8220000000000001,1.73e-05,0.061,-6.01,0.102,121.969,4,2008,True
Broken-Hearted Girl,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.63,57,0.45299999999999996,0.495,0.45299999999999996,0.425,0.0,0.254,-7.1979999999999995,0.0325,83.413,4,2008,True
Scared of Lonely,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.73,41,0.54,0.0577,0.54,0.5760000000000001,0.0,0.114,-6.678999999999999,0.0483,86.959,4,2008,True
That's Why You're Beautiful,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.67,35,0.5479999999999999,0.00926,0.5479999999999999,0.604,2.0399999999999998e-05,0.128,-7.449,0.0308,115.025,4,2008,True
Hello,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.26,42,0.331,0.19699999999999998,0.331,0.7929999999999999,2.93e-06,0.16399999999999998,-5.196000000000001,0.14800000000000002,97.52600000000001,3,2008,True
Radio,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.62,37,0.614,0.12300000000000001,0.614,0.754,4.09e-06,0.0906,-5.952999999999999,0.0717,135.734,4,2008,True
Video Phone,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.58,41,0.596,0.00255,0.596,0.767,0.0267,0.43700000000000006,-8.96,0.146,155.881,4,2008,True
Ego (feat. Kanye West) - Remix,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.73,42,0.711,0.114,0.711,0.439,0.0,0.0573,-5.156000000000001,0.138,78.074,4,2008,True
Why Don't You Love Me,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.62,46,0.6970000000000001,0.0453,0.6970000000000001,0.738,1.1e-06,0.0485,-4.583,0.0808,136.901,4,2008,True
Honesty,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.74,36,0.565,0.428,0.565,0.442,0.0,0.109,-7.7379999999999995,0.0309,135.99,4,2008,True
Save The Hero,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,4.55,36,0.55,0.632,0.55,0.47200000000000003,0.0,0.0788,-9.829,0.0334,116.96600000000001,4,2008,True
Satellites,I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2008,3.11,33,0.40299999999999997,0.713,0.40299999999999997,0.161,0.0,0.109,-14.466,0.0321,109.88799999999999,4,2008,True
