,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
73,I Will Take You Home,Bloodstream,Ed Sheeran,2015-03-27,238685,31,0.653,0.919,0.653,0.166,0.000124,0.0892,-11.446,0.0306,143.173,4
74,The A Team - Live at the Bedford,Live at the Bedford,Ed Sheeran,2011-12-09,322933,41,0.402,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,4
75,Homeless - Live at the Bedford,Live at the Bedford,Ed Sheeran,2011-12-09,225013,40,0.601,0.62,0.601,0.879,0.0,0.464,-5.215,0.0945,99.377,4
76,The City - Live at the Bedford,Live at the Bedford,Ed Sheeran,2011-12-09,307760,40,0.602,0.545,0.602,0.8,0.0,0.656,-5.91,0.0734,109.921,4
77,Fall - Live at the Bedford,Live at the Bedford,Ed Sheeran,2011-12-09,151173,40,0.494,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,4
78,Wake Me Up - Live at the Bedford,Live at the Bedford,Ed Sheeran,2011-12-09,300680,43,0.616,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,4
79,"You Need Me, I Don't Need You - Live at the Bedford",Live at the Bedford,Ed Sheeran,2011-12-09,590333,42,0.506,0.48,0.506,0.911,0.0,0.696,-4.779,0.23,105.475,4
80,Let It Out,Loose Change,Ed Sheeran,2011-12-09,231546,47,0.731,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,4
81,Homeless,Loose Change,Ed Sheeran,2011-12-09,210746,46,0.754,0.519,0.754,0.636,0.0,0.108,-7.129,0.193,90.001,4
82,Little Bird,Loose Change,Ed Sheeran,2011-12-09,226066,47,0.826,0.569,0.826,0.485,0.0,0.107,-7.424,0.0354,104.011,4
83,Sofa,Loose Change,Ed Sheeran,2011-12-09,199133,46,0.646,0.14,0.646,0.65,9.65e-06,0.0999,-6.491,0.0278,100.05,4
84,One Night,Loose Change,Ed Sheeran,2011-12-09,206440,48,0.781,0.379,0.781,0.836,0.0,0.289,-5.496,0.0658,94.989,4
85,Firefly,Loose Change,Ed Sheeran,2011-12-09,254999,49,0.602,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,4
86,The City - Live at Sticky Studios; Loose Change EP,Loose Change,Ed Sheeran,2011-12-09,306320,42,0.712,0.507,0.712,0.569,0.0,0.412,-6.032,0.204,105.032,4
87,Firefly - Bravado Dubstep Remix,Loose Change,Ed Sheeran,2011-12-09,269186,40,0.629,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,4
88,Lately (feat. Devlin),No.5 Collaborations Project,Ed Sheeran,2011-09-09,271333,44,0.718,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,4
89,You (feat. Wiley),No.5 Collaborations Project,Ed Sheeran,2011-09-09,201586,42,0.799,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,4
90,Family (feat. P Money),No.5 Collaborations Project,Ed Sheeran,2011-09-09,254906,42,0.476,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,4
91,Radio (feat. JME),No.5 Collaborations Project,Ed Sheeran,2011-09-09,222653,43,0.693,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,4
92,Little Lady (feat. Mikill Pane),No.5 Collaborations Project,Ed Sheeran,2011-09-09,328653,49,0.437,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,4
93,Drown Me Out (feat. Ghetts) - + Ghetts,No.5 Collaborations Project,Ed Sheeran,2011-09-09,261440,40,0.511,0.0282,0.511,0.91,0.0,0.127,-6.186,0.116,140.147,4
94,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",No.5 Collaborations Project,Ed Sheeran,2011-09-09,243000,41,0.855,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,4
95,Goodbye to You (feat. Dot Rotten),No.5 Collaborations Project,Ed Sheeran,2011-09-09,330200,41,0.64,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,4
96,Fall,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,163272,43,0.559,0.632,0.559,0.283,0.00127,0.126,-9.827,0.0323,82.552,4
97,Fire Alarms,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,144013,39,0.602,0.772,0.602,0.286,0.0,0.162,-9.886,0.0296,102.009,4
98,Where We Land,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,183000,43,0.68,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,4
99,Cold Coffee,Songs I Wrote With Amy,Ed Sheeran,2011-12-09,254226,46,0.544,0.453,0.544,0.529,0.0,0.131,-6.753,0.0256,92.936,4
