,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
81,State Of Grace,Red (Deluxe Edition),Taylor Swift,2012-10-22,295186,55,0.588,0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,4
82,Red,Red (Deluxe Edition),Taylor Swift,2012-10-22,220826,61,0.602,0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,4
83,Treacherous,Red (Deluxe Edition),Taylor Swift,2012-10-22,240773,55,0.705,0.101,0.705,0.621,4.3e-06,0.147,-8.086,0.0334,109.993,4
84,I Almost Do,Red (Deluxe Edition),Taylor Swift,2012-10-22,242573,55,0.567,0.0173,0.567,0.481,4.13e-05,0.182,-7.357,0.027,145.865,4
85,Stay Stay Stay,Red (Deluxe Edition),Taylor Swift,2012-10-22,204826,55,0.729,0.307,0.729,0.748,1.29e-06,0.09,-6.67,0.0245,99.981,4
86,The Last Time,Red (Deluxe Edition),Taylor Swift,2012-10-22,298293,55,0.505,0.035,0.505,0.443,3.15e-06,0.0921,-7.039,0.0276,94.069,4
87,Holy Ground,Red (Deluxe Edition),Taylor Swift,2012-10-22,201853,55,0.627,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,4
88,Sad Beautiful Tragic,Red (Deluxe Edition),Taylor Swift,2012-10-22,283680,53,0.624,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,3
89,Everything Has Changed,Red (Deluxe Edition),Taylor Swift,2012-10-22,243933,57,0.624,0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,4
90,Starlight,Red (Deluxe Edition),Taylor Swift,2012-10-22,217826,53,0.649,0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,4
91,Begin Again,Red (Deluxe Edition),Taylor Swift,2012-10-22,237613,55,0.53,0.199,0.53,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,4
92,Come Back...Be Here,Red (Deluxe Edition),Taylor Swift,2012-10-22,222706,54,0.483,0.00471,0.483,0.548,2.01e-06,0.0997,-6.291,0.0254,79.926,4
93,Girl At Home,Red (Deluxe Edition),Taylor Swift,2012-10-22,220320,50,0.733,0.272,0.733,0.59,0.0,0.136,-5.86,0.0284,125.048,4
94,The Lucky One,Red (Deluxe Edition),Taylor Swift,2012-10-22,240133,53,0.706,0.0371,0.706,0.499,0.0,0.132,-7.675,0.0369,117.937,4
95,The Moment I Knew,Red (Deluxe Edition),Taylor Swift,2012-10-22,285560,53,0.62,0.187,0.62,0.506,1.47e-05,0.102,-7.327,0.0312,126.015,4
96,State Of Grace - Acoustic Version,Red (Deluxe Edition),Taylor Swift,2012-10-22,323080,51,0.626,0.664,0.626,0.118,0.000169,0.127,-15.91,0.0305,105.597,4
97,Treacherous - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,239720,49,0.828,0.175,0.828,0.64,6.14e-05,0.0996,-8.248,0.0355,109.993,4
98,Red - Original Demo Recording,Red (Deluxe Edition),Taylor Swift,2012-10-22,226280,49,0.678,0.113,0.678,0.902,0.000235,0.0722,-4.659,0.0358,124.998,4
99,Dear John,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,403920,55,0.589,0.166,0.589,0.47,1.45e-06,0.112,-5.32,0.028,119.386,3
